post_town,part_1_construction_age_band,average_current_energy_efficiency_rating,average_potential_energy_efficiency_rating,average_current_environmental_impact_rating,average_potential_environmental_impact_rating,average_current_emissions_(t.co2/yr),average_potential_reduction_in_emissions_(t.co2/yr),average_potential_savings_in_heating_costs_over_3_years,average_potential_savings_in_hot_water_costs_over_3_years,rank_average_current_emissions_(t.co2/yr),rank_average_current_energy_efficiency_rating,rank_average_potential_energy_efficiency_rating,rank_average_current_environmental_impact_rating,rank_average_potential_environmental_impact_rating,rank_average_potential_reduction_in_emissions_(t.co2/yr),rank_average_potential_savings_in_heating_costs_over_3_years,rank_average_potential_savings_in_hot_water_costs_over_3_years
leven,1984-1991,67.35247524752475,81.5990099009901,70.15873015873017,80.34950495049505,3.978316831683168,1.7571287128712871,532.1465346534653,104.26039603960396,199.0,220.0,346.0,629.0,261.0,293.0,328.0,383.0
edinburgh,1950-1964,70.92768209172027,80.03014110811371,63.51628585318425,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,1052.0,296.0,386.0,340.0,424.0
callander,1930-1949,72.68325791855203,85.64253393665159,46.333333333333336,84.6606334841629,4.116742081447963,1.8244343891402715,747.4615384615385,109.15384615384616,208.0,115.0,175.0,1820.0,126.0,284.0,264.0,361.0
kilwinning,1965-1975,69.08208955223881,83.80597014925372,63.46739130434783,82.56965174129353,3.4766169154228854,1.671641791044776,396.85074626865674,115.83582089552239,153.0,187.0,241.0,1055.0,174.0,299.0,379.0,346.0
prestwick,before 1919,66.32954545454545,80.9034090909091,53.0958904109589,78.83806818181819,4.053693181818182,1.8142045454545455,562.3636363636364,105.21306818181819,203.0,235.0,369.0,1626.0,315.0,287.0,316.0,380.0
inverurie,1976-1983,69.42778793418647,85.47531992687385,69.2695652173913,83.10146252285192,4.679707495429616,2.0995429616087753,592.3491773308958,155.36928702010968,253.0,180.0,182.0,668.0,157.0,250.0,307.0,275.0
aberdeen,1965-1975,69.75308909603295,80.89356167353132,64.36496350364963,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,986.0,286.0,349.0,337.0,388.0
stonehaven,1950-1964,72.04525547445256,84.89489051094891,59.388888888888886,83.62043795620438,3.8173722627737225,1.6213138686131385,425.3430656934307,119.42189781021898,182.0,125.0,200.0,1326.0,141.0,310.0,361.0,338.0
longniddry,1950-1964,74.85221674876847,86.10837438423646,59.3125,86.21674876847291,3.100985221674877,1.323152709359606,424.3152709359606,109.19704433497537,118.0,97.0,161.0,1334.0,110.0,352.0,362.0,359.0
aberdeen,1950-1964,69.75308909603295,80.89356167353132,62.25028835063437,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,1141.0,286.0,349.0,337.0,388.0
east linton,1950-1964,71.95121951219512,86.4390243902439,58.44444444444444,84.7439024390244,3.885365853658537,1.9426829268292685,581.9268292682926,191.23170731707316,188.0,128.0,151.0,1376.0,125.0,269.0,312.0,224.0
aberdeen,1930-1949,69.75308909603295,80.89356167353132,59.370165745856355,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,1327.0,286.0,349.0,337.0,388.0
greenock,1919-1929,72.23698069046226,80.42890579286133,58.52173913043478,80.91983616149795,2.8177881802223523,0.9159157401989467,379.9467524868344,82.14979520187244,100.0,121.0,383.0,1374.0,240.0,406.0,396.0,446.0
greenock,1930-1949,72.23698069046226,80.42890579286133,63.87777777777778,80.91983616149795,2.8177881802223523,0.9159157401989467,379.9467524868344,82.14979520187244,100.0,121.0,383.0,1026.0,240.0,406.0,396.0,446.0
glasgow,1950-1964,71.07386287937328,80.5512270510805,65.49425287356321,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,899.0,287.0,389.0,367.0,419.0
leven,1930-1949,67.35247524752475,81.5990099009901,65.34751773049645,80.34950495049505,3.978316831683168,1.7571287128712871,532.1465346534653,104.26039603960396,199.0,220.0,346.0,914.0,261.0,293.0,328.0,383.0
aberdeen,1919-1929,69.75308909603295,80.89356167353132,58.1031746031746,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,1393.0,286.0,349.0,337.0,388.0
glasgow,1965-1975,71.07386287937328,80.5512270510805,64.81802312895483,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,947.0,287.0,389.0,367.0,419.0
brodick,before 1919,55.298850574712645,85.55172413793103,43.666666666666664,78.14942528735632,7.924137931034482,3.896551724137931,1357.448275862069,389.6896551724138,415.0,367.0,179.0,1871.0,331.0,113.0,127.0,59.0
strathcarron,1965-1975,48.2037037037037,90.48148148148148,40.0,79.83333333333333,9.637037037037036,5.468518518518518,2290.0555555555557,387.8888888888889,470.0,411.0,79.0,1932.0,282.0,44.0,44.0,61.0
erskine,1965-1975,71.73529411764706,83.35,64.14516129032258,81.90294117647059,3.2358823529411764,1.249705882352941,236.39117647058825,108.86470588235294,128.0,131.0,261.0,1002.0,195.0,363.0,446.0,363.0
spean bridge,2003-2007,68.76315789473684,86.78947368421052,50.5,80.8157894736842,5.868421052631579,2.2078947368421056,453.55263157894734,190.89473684210526,337.0,193.0,142.0,1714.0,244.0,236.0,356.0,225.0
strathcarron,1984-1991,48.2037037037037,90.48148148148148,47.0,79.83333333333333,9.637037037037036,5.468518518518518,2290.0555555555557,387.8888888888889,470.0,411.0,79.0,1800.0,282.0,44.0,44.0,61.0
tranent,1950-1964,70.41666666666667,84.13095238095238,62.270270270270274,82.94246031746032,3.4305555555555554,1.533531746031746,390.82738095238096,131.45833333333334,147.0,163.0,226.0,1140.0,164.0,320.0,384.0,319.0
glasgow,1919-1929,71.07386287937328,80.5512270510805,62.53791469194313,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,1123.0,287.0,389.0,367.0,419.0
livingston,1999-2002,74.75754422476587,85.21956295525494,67.26470588235294,84.02601456815817,3.0037460978147763,1.1309053069719042,258.4105098855359,118.3720083246618,112.0,99.0,192.0,786.0,136.0,379.0,437.0,340.0
dundee,1950-1964,69.00415081286752,80.96610169491525,61.520702634880806,78.89986163957109,3.591611898996887,1.3517986855759254,558.4685230024213,121.00605326876513,166.0,188.0,368.0,1192.0,313.0,343.0,319.0,335.0
fraserburgh,1965-1975,66.49938195302843,85.67243510506799,58.845029239766085,80.45735475896169,5.207169344870211,2.688504326328801,951.4635352286774,196.73918417799752,300.0,231.0,174.0,1352.0,256.0,193.0,214.0,219.0
stornoway,1992-1998,61.83766233766234,79.85064935064935,61.09090909090909,77.44805194805195,4.65974025974026,2.103896103896104,883.7142857142857,182.47402597402598,252.0,293.0,391.0,1222.0,351.0,248.0,233.0,238.0
north berwick,1950-1964,70.47232472324723,83.68634686346863,48.214285714285715,82.4059040590406,4.368265682656826,1.8952029520295204,621.9630996309963,121.32841328413284,235.0,162.0,248.0,1776.0,179.0,276.0,300.0,334.0
auchterarder,1919-1929,71.28181818181818,83.73939393939393,56.0,81.11818181818182,4.467575757575758,1.6484848484848484,523.0,132.12727272727273,241.0,142.0,247.0,1510.0,229.0,305.0,331.0,316.0
leven,1976-1983,67.35247524752475,81.5990099009901,69.15384615384616,80.34950495049505,3.978316831683168,1.7571287128712871,532.1465346534653,104.26039603960396,199.0,220.0,346.0,676.0,261.0,293.0,328.0,383.0
peterhead,others,70.02649507948524,85.47615442846329,83.21897810218978,83.09235427706282,4.226343679031037,2.0314912944738834,628.9280847842543,139.05147615442846,222.0,169.0,181.0,217.0,161.0,260.0,295.0,303.0
coatbridge,others,73.087890625,82.341796875,89.31490384615384,81.642578125,2.8427734375,0.9792968750000001,299.1875,84.88671875,102.0,112.0,314.0,56.0,203.0,397.0,424.0,438.0
dundee,others,69.00415081286752,80.96610169491525,87.01873198847262,78.89986163957109,3.591611898996887,1.3517986855759254,558.4685230024213,121.00605326876513,166.0,188.0,368.0,123.0,313.0,343.0,319.0,335.0
auchterarder,others,71.28181818181818,83.73939393939393,86.66071428571429,81.11818181818182,4.467575757575758,1.6484848484848484,523.0,132.12727272727273,241.0,142.0,247.0,131.0,229.0,305.0,331.0,316.0
banchory,others,73.75409836065573,88.05961251862891,88.44660194174757,85.46646795827124,4.352160953800299,1.9858420268256334,680.7630402384501,155.46795827123697,234.0,105.0,123.0,78.0,120.0,265.0,282.0,274.0
glasgow,2008 onwards,71.07386287937328,80.5512270510805,80.34690101757631,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,288.0,287.0,389.0,367.0,419.0
bathgate,others,71.5315195753152,82.96615792966158,84.79357798165138,82.36562707365627,3.550895819508958,1.3554744525547446,346.8493696084937,106.5686794956868,160.0,134.0,283.0,186.0,181.0,342.0,412.0,372.0
laurencekirk,others,69.117903930131,87.12663755458516,85.84931506849315,83.27510917030568,5.272052401746724,2.520960698689956,689.4628820960698,173.72489082969432,302.0,186.0,135.0,158.0,149.0,207.0,277.0,248.0
edinburgh,2003-2007,70.92768209172027,80.03014110811371,80.73957273652086,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,276.0,296.0,386.0,340.0,424.0
dalkeith,others,74.16767676767677,84.64040404040404,86.34579439252336,84.0939393939394,2.9273737373737374,1.228080808080808,297.1424242424242,98.60909090909091,107.0,102.0,211.0,141.0,134.0,368.0,428.0,403.0
paisley,1930-1949,71.46970663265306,80.9859693877551,66.17472118959108,80.33864795918367,2.7854591836734697,0.9771045918367346,369.9154974489796,101.37149234693878,96.0,136.0,367.0,851.0,262.0,398.0,399.0,393.0
dunfermline,1976-1983,70.96047824642976,83.06941215543009,66.22222222222223,82.09664563268018,3.4219860511457987,1.3712055795416804,384.11756891398204,110.26270342079043,145.0,151.0,275.0,847.0,188.0,341.0,392.0,354.0
roslin,1950-1964,82.33147632311977,88.96100278551532,57.708333333333336,90.5292479108635,2.047075208913649,0.8378830083565459,183.6350974930362,96.51810584958217,65.0,67.0,111.0,1413.0,68.0,411.0,460.0,405.0
penicuik,1984-1991,71.0,82.96026490066225,71.4375,81.59933774834437,3.9036423841059604,1.4533112582781456,353.18046357615896,109.17218543046357,192.0,150.0,284.0,571.0,206.0,330.0,407.0,360.0
glasgow,1976-1983,71.07386287937328,80.5512270510805,66.16666666666667,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,852.0,287.0,389.0,367.0,419.0
berwick upon tweed,1999-2002,48.14,81.58,53.0,76.1,8.52,4.934,1528.2,298.68,433.0,412.0,349.0,1630.0,370.0,61.0,112.0,110.0
edinburgh,before 1919,70.92768209172027,80.03014110811371,62.10897030953885,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,1151.0,296.0,386.0,340.0,424.0
aberdeen,1976-1983,69.75308909603295,80.89356167353132,66.41946308724832,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,837.0,286.0,349.0,337.0,388.0
dundee,1965-1975,69.00415081286752,80.96610169491525,59.72745901639344,78.89986163957109,3.591611898996887,1.3517986855759254,558.4685230024213,121.00605326876513,166.0,188.0,368.0,1306.0,313.0,343.0,319.0,335.0
elgin,1984-1991,67.63874726875456,83.8543335761107,64.91803278688525,81.84268026219956,3.931245447924254,1.897159504734159,598.3350327749454,135.42825928623452,194.0,214.0,240.0,940.0,196.0,275.0,304.0,312.0
glasgow,2003-2007,71.07386287937328,80.5512270510805,78.07609147609148,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,348.0,287.0,389.0,367.0,419.0
glenrothes,1965-1975,67.8075117370892,83.28732394366197,62.798850574712645,81.22629107981221,4.020657276995305,1.7660093896713616,517.4084507042254,135.49859154929578,202.0,209.0,266.0,1106.0,224.0,291.0,335.0,311.0
bathgate,1984-1991,71.5315195753152,82.96615792966158,71.6025641025641,82.36562707365627,3.550895819508958,1.3554744525547446,346.8493696084937,106.5686794956868,160.0,134.0,283.0,566.0,181.0,342.0,412.0,372.0
dumbarton,before 1919,71.03911342894393,80.63494132985659,59.421965317919074,80.53324641460235,3.2468057366362455,1.1555410691003911,386.96479791395046,72.3794002607562,129.0,148.0,376.0,1323.0,251.0,376.0,389.0,463.0
aberdeen,1984-1991,69.75308909603295,80.89356167353132,68.4887556221889,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,715.0,286.0,349.0,337.0,388.0
cupar,1976-1983,62.60761346998536,83.7891654465593,60.25806451612903,80.89458272327965,5.761932650073207,3.003221083455344,1078.6076134699854,170.0117130307467,326.0,287.0,244.0,1272.0,242.0,166.0,178.0,250.0
livingston,1965-1975,74.75754422476587,85.21956295525494,64.37878787878788,84.02601456815817,3.0037460978147763,1.1309053069719042,258.4105098855359,118.3720083246618,112.0,99.0,192.0,985.0,136.0,379.0,437.0,340.0
wishaw,1976-1983,70.94546912590216,82.17161186848436,60.724137931034484,81.27425821972734,3.2540497193263835,1.2164394546912591,376.15477145148355,87.42101042502004,130.0,152.0,321.0,1243.0,221.0,370.0,398.0,433.0
aberdeen,2003-2007,69.75308909603295,80.89356167353132,78.59193954659949,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,332.0,286.0,349.0,337.0,388.0
glasgow,1984-1991,71.07386287937328,80.5512270510805,68.0642822619623,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,744.0,287.0,389.0,367.0,419.0
edinburgh,1992-1998,70.92768209172027,80.03014110811371,71.1443736730361,79.50202324133637,3.1532942519194855,1.0849813239261257,495.33710313343016,90.28356505499066,122.0,154.0,388.0,588.0,296.0,386.0,340.0,424.0
musselburgh,1965-1975,72.0925925925926,83.01559454191033,62.22222222222222,82.00584795321637,3.010818713450292,1.2196881091617935,387.9327485380117,106.34210526315789,113.0,123.0,281.0,1146.0,191.0,369.0,387.0,375.0
denny,2008 onwards,73.65277777777777,84.33101851851852,79.76923076923077,84.00462962962963,2.8055555555555554,1.1215277777777777,250.16666666666666,83.58333333333333,99.0,109.0,219.0,300.0,137.0,382.0,442.0,442.0
kilmarnock,1992-1998,69.82577458464301,83.0202065559048,69.0632911392405,81.7031881454872,3.59344409519533,1.5620116748989672,405.2653794342164,101.19847328244275,167.0,173.0,280.0,680.0,201.0,315.0,370.0,395.0
glasgow,1992-1998,71.07386287937328,80.5512270510805,70.60341974627688,79.70505475765408,3.134392070132431,1.070550774068054,408.40184923659035,93.13701404247382,120.0,147.0,379.0,608.0,287.0,389.0,367.0,419.0
cupar,before 1919,62.60761346998536,83.7891654465593,52.90217391304348,80.89458272327965,5.761932650073207,3.003221083455344,1078.6076134699854,170.0117130307467,326.0,287.0,244.0,1633.0,242.0,166.0,178.0,250.0
larbert,1984-1991,69.93900184842883,81.94269870609982,67.92307692307692,80.39556377079482,3.420332717190388,1.3297597042513862,326.0351201478743,93.81515711645102,143.0,172.0,329.0,750.0,258.0,351.0,419.0,417.0
falkirk,1984-1991,70.1579388353582,81.54126518642647,68.39735099337749,80.23711772098869,3.4359865940511103,1.269459572685379,412.060745705907,109.92794302471722,148.0,168.0,351.0,721.0,270.0,359.0,365.0,355.0
westhill,1992-1998,69.1590909090909,85.23106060606061,68.14285714285714,82.74242424242425,4.830681818181818,2.150378787878788,535.6022727272727,164.20454545454547,269.0,184.0,191.0,737.0,172.0,241.0,326.0,260.0
musselburgh,before 1919,72.0925925925926,83.01559454191033,58.00714285714286,82.00584795321637,3.010818713450292,1.2196881091617935,387.9327485380117,106.34210526315789,113.0,123.0,281.0,1396.0,191.0,369.0,387.0,375.0
girvan,2003-2007,55.726907630522085,80.45381526104417,74.42857142857143,77.20883534136546,6.804819277108434,3.4879518072289155,1385.4578313253012,210.19277108433735,379.0,363.0,382.0,463.0,355.0,133.0,125.0,202.0
stirling,1984-1991,71.9756671899529,82.90188383045526,67.04285714285714,81.20447409733124,3.510989010989011,1.3322605965463108,456.0129513343799,104.00039246467819,155.0,127.0,287.0,799.0,226.0,350.0,354.0,385.0
bathgate,1950-1964,71.5315195753152,82.96615792966158,62.519354838709674,82.36562707365627,3.550895819508958,1.3554744525547446,346.8493696084937,106.5686794956868,160.0,134.0,283.0,1124.0,181.0,342.0,412.0,372.0
johnstone,1984-1991,68.49591598599767,81.11435239206534,69.56944444444444,79.67561260210034,3.5263710618436406,1.453558926487748,478.8238039673279,98.80046674445741,157.0,195.0,363.0,656.0,288.0,329.0,344.0,400.0
ellon,1965-1975,66.77190876350541,86.77671068427371,60.84587813620072,82.01680672268908,4.7877551020408164,2.370228091236495,705.0072028811525,193.12004801920767,263.0,228.0,143.0,1232.0,190.0,217.0,270.0,221.0
kilmarnock,2003-2007,69.82577458464301,83.0202065559048,75.95614035087719,81.7031881454872,3.59344409519533,1.5620116748989672,405.2653794342164,101.19847328244275,167.0,173.0,280.0,410.0,201.0,315.0,370.0,395.0
prestwick,1950-1964,66.32954545454545,80.9034090909091,62.98275862068966,78.83806818181819,4.053693181818182,1.8142045454545455,562.3636363636364,105.21306818181819,203.0,235.0,369.0,1091.0,315.0,287.0,316.0,380.0
kilmarnock,1930-1949,69.82577458464301,83.0202065559048,63.449101796407184,81.7031881454872,3.59344409519533,1.5620116748989672,405.2653794342164,101.19847328244275,167.0,173.0,280.0,1057.0,201.0,315.0,370.0,395.0
ayr,1919-1929,67.24707533926065,81.17547964436126,56.0,79.00701918577445,4.062049602246139,1.713242863827796,543.7454375292466,117.25549836218998,204.0,223.0,360.0,1510.0,309.0,295.0,323.0,341.0
livingston,1984-1991,74.75754422476587,85.21956295525494,66.59509202453988,84.02601456815817,3.0037460978147763,1.1309053069719042,258.4105098855359,118.3720083246618,112.0,99.0,192.0,828.0,136.0,379.0,437.0,340.0
stirling,2003-2007,71.9756671899529,82.90188383045526,73.38372093023256,81.20447409733124,3.510989010989011,1.3322605965463108,456.0129513343799,104.00039246467819,155.0,127.0,287.0,493.0,226.0,350.0,354.0,385.0
troon,1976-1983,70.76540755467197,82.25646123260438,66.27272727272727,81.0079522862823,3.26441351888668,1.3073558648111332,406.7296222664016,95.71371769383698,131.0,157.0,317.0,844.0,233.0,355.0,368.0,410.0
kirkcaldy,1950-1964,69.32845070422535,81.34591549295774,62.82508250825082,80.37802816901409,3.562140845070423,1.420394366197183,476.81239436619717,95.20225352112676,162.0,181.0,355.0,1103.0,259.0,335.0,346.0,414.0
greenock,before 1919,72.23698069046226,80.42890579286133,62.6015625,80.91983616149795,2.8177881802223523,0.9159157401989467,379.9467524868344,82.14979520187244,100.0,121.0,383.0,1120.0,240.0,406.0,396.0,446.0
gorebridge,2003-2007,72.42125984251969,84.6259842519685,72.5,83.78346456692914,3.3818897637795278,1.4035433070866141,386.78740157480314,131.8228346456693,139.0,118.0,213.0,531.0,140.0,338.0,391.0,318.0
troon,1965-1975,70.76540755467197,82.25646123260438,62.322916666666664,81.0079522862823,3.26441351888668,1.3073558648111332,406.7296222664016,95.71371769383698,131.0,157.0,317.0,1137.0,233.0,355.0,368.0,410.0
westhill,1965-1975,69.1590909090909,85.23106060606061,58.3469387755102,82.74242424242425,4.830681818181818,2.150378787878788,535.6022727272727,164.20454545454547,269.0,184.0,191.0,1379.0,172.0,241.0,326.0,260.0
arbroath,before 1919,68.385,83.269,54.748936170212765,80.936,3.9133,1.7727,593.442,141.363,193.0,199.0,268.0,1562.0,238.0,290.0,306.0,298.0
peterhead,before 1919,70.02649507948524,85.47615442846329,50.11801242236025,83.09235427706282,4.226343679031037,2.0314912944738834,628.9280847842543,139.05147615442846,222.0,169.0,181.0,1722.0,161.0,260.0,295.0,303.0
kinross,2003-2007,69.14655172413794,84.77011494252874,71.25,83.15229885057471,4.879885057471265,2.132758620689655,704.0431034482758,178.31896551724137,273.0,185.0,207.0,581.0,156.0,244.0,272.0,244.0
hamilton,1965-1975,71.0235588972431,82.06165413533834,59.40255591054313,80.47418546365915,3.3600501253132835,1.2010025062656642,392.74436090225566,114.28270676691729,138.0,149.0,327.0,1325.0,255.0,372.0,381.0,347.0
aberdeen,1999-2002,69.75308909603295,80.89356167353132,73.87943262411348,79.72295686104488,3.533058747019293,1.3325168003468457,508.8290700195101,102.86202037719488,159.0,175.0,370.0,474.0,286.0,349.0,337.0,388.0
perth,before 1919,68.37348178137651,82.16869095816465,53.308176100628934,79.65789473684211,3.9563765182186237,1.600843454790823,609.4240890688259,137.48481781376518,197.0,200.0,322.0,1615.0,289.0,313.0,302.0,310.0
greenock,1950-1964,72.23698069046226,80.42890579286133,63.136986301369866,80.91983616149795,2.8177881802223523,0.9159157401989467,379.9467524868344,82.14979520187244,100.0,121.0,383.0,1078.0,240.0,406.0,396.0,446.0
paisley,1965-1975,71.46970663265306,80.9859693877551,65.35714285714286,80.33864795918367,2.7854591836734697,0.9771045918367346,369.9154974489796,101.37149234693878,96.0,136.0,367.0,913.0,262.0,398.0,399.0,393.0
leven,1950-1964,67.35247524752475,81.5990099009901,63.850746268656714,80.34950495049505,3.978316831683168,1.7571287128712871,532.1465346534653,104.26039603960396,199.0,220.0,346.0,1029.0,261.0,293.0,328.0,383.0
kirkcaldy,1919-1929,69.32845070422535,81.34591549295774,64.17460317460318,80.37802816901409,3.562140845070423,1.420394366197183,476.81239436619717,95.20225352112676,162.0,181.0,355.0,1000.0,259.0,335.0,346.0,414.0
clydebank,1930-1949,71.70627062706271,81.03135313531354,65.71917808219177,80.57260726072607,2.8394389438943897,0.9577557755775578,298.71534653465346,69.5990099009901,101.0,133.0,365.0,884.0,249.0,401.0,426.0,466.0
musselburgh,1992-1998,72.0925925925926,83.01559454191033,65.86538461538461,82.00584795321637,3.010818713450292,1.2196881091617935,387.9327485380117,106.34210526315789,113.0,123.0,281.0,872.0,191.0,369.0,387.0,375.0
kilmarnock,1965-1975,69.82577458464301,83.0202065559048,66.21089630931459,81.7031881454872,3.59344409519533,1.5620116748989672,405.2653794342164,101.19847328244275,167.0,173.0,280.0,848.0,201.0,315.0,370.0,395.0
inverness,1984-1991,71.83072645116441,84.76885644768856,60.83185840707964,82.83976364268335,3.586200903719152,1.4978797358359401,464.1970802919708,149.12095933263817,165.0,130.0,208.0,1235.0,166.0,325.0,353.0,282.0
airdrie,1984-1991,69.6901822457378,81.09406231628454,68.59701492537313,80.09876543209876,3.5296296296296292,1.261081716637272,377.78483245149914,91.50617283950618,158.0,176.0,364.0,707.0,274.0,362.0,397.0,422.0
johnstone,1992-1998,68.49591598599767,81.11435239206534,68.30952380952381,79.67561260210034,3.5263710618436406,1.453558926487748,478.8238039673279,98.80046674445741,157.0,195.0,363.0,728.0,288.0,329.0,344.0,400.0
denny,1965-1975,73.65277777777777,84.33101851851852,66.95744680851064,84.00462962962963,2.8055555555555554,1.1215277777777777,250.16666666666666,83.58333333333333,99.0,109.0,219.0,804.0,137.0,382.0,442.0,442.0
kilwinning,1950-1964,69.08208955223881,83.80597014925372,57.543103448275865,82.56965174129353,3.4766169154228854,1.671641791044776,396.85074626865674,115.83582089552239,153.0,187.0,241.0,1421.0,174.0,299.0,379.0,346.0
